x,y
6.943012077877944,5.483942300110607
5.6509944967261525,3.410112744664719
6.602631527460527,6.551652506063455
4.497127983585127,5.056038463333978
1.9060784260296613,3.6093621968495815
3.043340720267709,3.1260521162867954
4.109555615318655,4.675865213602013
3.3485841757310695,4.210291203583439
5.941692278830926,5.637689857793667
2.4609397117716574,4.910934719162109
-4.59894413480385,0.989477167357669
4.000003477737767,5.383951713144015
7.473872931197096,7.287810596206743
2.0393152642022794,4.17678721231953
6.799715325222964,4.504228075428258
17.295341385251962,14.225913450165912
16.43399633115077,11.115169116997079
17.068421018307017,15.827478759095182
15.664751989056752,13.584057695000967
13.937385617353108,11.414043295274372
14.695560480178473,10.689078174430193
15.406370410212437,13.01379782040302
14.899056117154046,12.315436805375159
16.62779485255395,14.4565347866905
14.307293141181106,13.366402078743164
9.600703910130767,7.484215751036503
15.333335651825177,14.075927569716022
17.649248620798065,16.931715894310116
14.026210176134853,12.265180818479294
17.199810216815308,12.756342113142388
